Date,Bi,Di,Ri,As,Tamb,W10,EPV
2010-12-22,457.747,182.362,4.4030000000000005,28.800909090909098,23.525000000000002,1.6325,55060.22
2010-12-23,522.979,156.15699999999998,4.595999999999999,28.799090909090918,22.64041666666667,1.6525,58592.64
2010-12-24,487.3280000000001,168.033,4.489000000000001,28.80181818181818,22.71291666666667,1.8266666666666662,57114.66
2010-12-25,496.73900000000003,162.695,4.513999999999999,28.810000000000002,23.424999999999997,1.273333333333333,56383.52999999999
2010-12-26,513.8720000000001,160.45000000000002,4.577,28.824545454545458,22.863749999999996,1.7062499999999998,58857.83
2010-12-27,474.51200000000006,176.748,4.470999999999999,28.843636363636367,23.33916666666666,1.39125,56241.21000000001
2010-12-28,491.005,170.01899999999998,4.521000000000001,28.867272727272724,23.01375,1.91,57925.47
2010-12-29,466.5080000000001,181.51999999999995,4.455,28.89727272727272,23.30208333333334,2.094583333333333,56521.87
2010-12-30,293.8159999999999,228.22199999999998,3.7940000000000005,28.932727272727274,23.418750000000003,2.5933333333333324,46292.11
2010-12-31,515.952,160.977,4.606,28.969999999999995,22.29375,2.930416666666666,60261.04000000001
2011-01-01,502.669,174.082,4.614,29.030000000000005,22.224166666666665,1.6591666666666667,58548.60000000001
2011-01-02,480.55699999999996,182.43,4.556,29.081818181818186,23.19333333333333,1.9929166666666671,57354.83
2011-01-03,480.113,180.58200000000002,4.568,29.137272727272727,24.05541666666667,2.230416666666667,57786.28
2011-01-04,450.33900000000006,185.84600000000003,4.458,29.2,24.469583333333333,1.9725000000000001,54580.950000000004
2011-01-05,335.61,219.042,4.011,29.268181818181816,24.374583333333337,2.284166666666667,48079.9
2011-01-06,516.1310000000001,169.50799999999998,4.694000000000001,29.34090909090909,23.69416666666667,2.5558333333333336,59873.350000000006
2011-01-07,503.21899999999994,177.1,4.670999999999999,29.41636363636364,22.86916666666667,2.557916666666667,59445.07
2011-01-08,510.033,173.773,4.7,29.5,22.868749999999995,2.4466666666666668,59226.4
2011-01-09,527.0290000000001,165.754,4.759000000000001,29.58636363636363,23.40041666666667,2.1216666666666666,59811.94
2011-01-10,536.9209999999999,161.747,4.794,29.677272727272733,23.476250000000004,2.0904166666666666,60132.530000000006
2011-01-11,532.089,164.39800000000002,4.795,32.76,23.205416666666665,1.8375000000000001,60140.11000000001
2011-01-12,535.505,163.565,4.818999999999999,32.876000000000005,23.237916666666663,1.6658333333333335,60020.0
2011-01-13,541.579,161.046,4.848000000000001,32.995000000000005,23.211250000000003,1.5016666666666667,60736.57999999999
2011-01-14,523.5450000000001,170.441,4.814,33.117,23.041249999999994,2.1191666666666666,60033.03999999999
2011-01-15,545.955,160.059,4.888,33.247,23.051666666666666,2.543333333333333,61434.259999999995
